ATS;ASST;CDC;INDIRIZZO STRUTTURA;NUMERO SERVIZI ATTIVI;% SERVIZI ATTIVI
Ats Insubria;Asst Della Valle Olona;Casa Di Comunita' Cavour Lonate Pozzolo;Via Cavour, 21 - Lonate Pozzolo (VA);13;100%
Ats Brianza;Asst Della Brianza;Casa Di Comunita' San Cesano Maderno;Via San Carlo, 2/5 - Cesano Maderno (MB);13;100%
Ats Brianza;Asst Della Brianza;Casa Di Comunita' Bernasconi Lissone;Via Bernasconi, 16 - Lissone (MB);13;100%
Ats Montagna;Asst Della Valcamonica;Casa Di Comunita' Marconi Ossimo;Via Marconi, 19 - Ossimo (BS);13;100%
Ats Bergamo;Asst Di Bergamo Est;Casa Di Comunita' Ospedale Trescore Balneario;Via Ospedale, 34 - Trescore Balneario (BG);13;100%
Ats Bergamo;Asst Di Bergamo Est;Casa Di Comunita' Paleocapa Alzano Lombardo;Via Ribolla, 1 - Alzano Lombardo (BG);13;100%
Ats Brianza;Asst Di Lecco;Casa Di Comunita' Montereggio Casatenovo;Via Montereggio, 13 - Casatenovo (LC);13;100%
Ats Milano;Asst Ovest Milanese;Casa Di Comunita' Badi - Rossetti Cuggiono;Via Badi, 2/4 - Cuggiono (MI);13;100%
Ats Insubria;Asst Della Valle Olona;Casa Di Comunita' Plebiscito Busto Arsizio;Piazza Plebiscito, 1 - Busto Arsizio (VA);13;100%
Ats Montagna;Asst Della Valtellina E Dell'Alto Lario;Casa Di Comunita' Pedrotti Tirano;Via Pedrotti, 57 - Tirano (SO);13;100%
Ats Brescia;Asst Della Franciacorta;Casa Di Comunita' Martiri Della Liberta' Chiari;Piazza Martiri Della Liberta', 25 - Chiari (BS);13;100%
Ats Insubria;Asst Dei Sette Laghi;Casa Di Comunita' Di Gazzada Schianno;Via Roma, 18 - Gazzada Schianno (VA);13;100%
Ats Brianza;Asst Della Brianza;Casa Di Comunita' Foscolo Desio;Via Foscolo, 24 - Desio (MB);13;100%
Ats Brianza;Asst Della Brianza;Casa Di Comunita' Verdi Seregno;Via Verdi, 2 - Seregno (MB);13;100%
Ats Brianza;Asst Di Lecco;Casa Di Comunita' Bergamo Calolziocorte;Corso Bergamo, 1 - Calolziocorte (LC);13;100%
Ats Milano;Asst Rhodense;Casa Di Comunita' Piave Bollate;Via Piave, 20 - Bollate (MI);13;100%
Ats Milano;Asst Rhodense;Casa Di Comunita' Cesate Garbagnate Milanese;Via Per Cesate, 62 - Garbagnate Milanese (MI);13;100%
Ats Brianza;Asst Di Lecco;Casa Di Comunita' Carlo Alberto Bellano;Via Carlo Alberto, 25 - Bellano (LC);13;100%
Ats Brianza;Asst Di Lecco;Casa Di Comunita' Mandic Merate;Via Mandic, 1 - Merate (LC);13;100%
Ats Milano;Asst Rhodense;Casa Di Comunita' Dell Repubblica Paderno Dugnano;Viale Della Repubblica, 13 - Paderno Dugnano (MI);13;100%
Ats Milano;Asst Santi Paolo E Carlo;Casa Di Comunita' Baroni;Via Baroni, 48 - Milano (MI);13;100%
Ats Milano;Asst Fatebenefratelli Sacco;Casa Di Comunita' Sassi Milano;Via Sassi, 4 - Milano (MI);13;100%
Ats Milano;Asst Rhodense;Casa Di Comunita' Dei Corsico;Via Dei Lavoratori, 42 - Corsico (MI);13;100%
Ats Milano;Asst Santi Paolo E Carlo;Casa Di Comunita' Stromboli Milano;Via Stromboli, 19 - Milano (MI);13;100%
