NOME_STRUTTURA,ASST,INDIRIZZO,RATING_GLOBALE,N_VALUTAZIONI,N_AREE,AREE_SPECIALISTICHE,RATING_DIMENSIONI_JSON,RATING_PER_AREA_JSON,TIPO,CLASSIFICAZIONE,COMUNE,PROVINCIA,LATITUDINE,LONGITUDINE
CENTRO CARDIOLOGICO MONZINO DI MILANO,,"VIA CARLO PAREA, 4 - MILANO (MI)",4.4,9.0,18.0,"['ANALISI DI LABORATORIO', 'ANGIOLOGIA', 'CARDIOCHIRURGIA', 'CARDIOLOGIA', 'CHIRURGIA VASCOLARE', 'ELETTROFISIOLOGIA E EMODINAMICA', 'EMATOLOGIA E IMMUNOEMATOLOGIA', 'ENDOCRINOLOGIA E DIABETOLOGIA', 'MEDICINA INTERNA - GENERALE', 'NEUROLOGIA', 'PENSIONANTI', 'PNEUMOLOGIA', 'PRONTO SOCCORSO', 'PRONTO SOCCORSO CARDIOLOGICO', 'RADIOLOGIA E DIAGNOSTICA PER IMMAGINI', 'RIABILITAZIONE CARDIO-RESPIRATORIA', 'TERAPIA INTENSIVA', 'UNITÀ CORONARICA - UNITÀ INTENSIVA CARDIOLOGICA']","{""Da consigliare a parenti e amici"": 4.1, ""Pulizia"": 4.2, ""Rispetto della privacy"": 4.3, ""Qualità dell'ospitalità e della struttura"": 4.2, ""Disponibilità e gentilezza del personale medico"": 4.4, ""Disponibilità e gentilezza del personale non medico"": 4.6, ""Chiarezza delle informazioni mediche ricevute"": 4.4, ""Chiarezza delle informazioni amministrative e organizzative"": 4.0, ""Qualità dei pasti"": 4.0, ""Gestione delle visite dei parenti"": 4.7}","{""Cardiochirurgia"": 5.0, ""Cardiologia"": 4.7, ""Chirurgia Vascolare"": 5.0, ""Pensionanti"": 5.0, ""Pronto soccorso"": 5.0, ""Pronto soccorso cardiologico"": 5.0, ""Riabilitazione Ortopedica"": 5.0, ""Terapia Intensiva"": 5.0, ""Unità Coronarica - Unità Intensiva Cardiologica"": 5.0}",OSPEDALE,HUB,MILANO,MI,45.4441219,9.2625181
HUMANITAS GAVAZZENI DI BERGAMO,,"VIA MAURO GAVAZZENI, 21 - BERGAMO (BG)",4.4,7.0,47.0,"['ALLERGOLOGIA', 'ANALISI DI LABORATORIO', 'ANGIOLOGIA', 'CARDIOCHIRURGIA', 'CARDIOLOGIA', 'CHECK UP', 'CHIRURGIA GENERALE', 'CHIRURGIA MAXILLO FACCIALE', 'CHIRURGIA PLASTICA E MEDICINA ESTETICA', 'CHIRURGIA TORACICA', 'CHIRURGIA VASCOLARE', 'CHIRURGIA VERTEBRALE', 'DERMATOLOGIA', 'DIETOLOGIA E NUTRIZIONE CLINICA', 'ELETTROFISIOLOGIA E EMODINAMICA', 'EMATOLOGIA E IMMUNOEMATOLOGIA', 'ENDOCRINOLOGIA E DIABETOLOGIA', 'GASTROENTEROLOGIA', 'GERIATRIA', 'GINECOLOGIA', 'IMMUNOLOGIA', 'MALATTIE INFETTIVE E TROPICALI', 'MEDICINA INTERNA - GENERALE', 'MEDICINA NUCLEARE', 'MEDICINA SPORTIVA', 'NEFROLOGIA', 'NEUROLOGIA', 'NEUROPSICHIATRIA INFANTILE', 'OCULISTICA', 'ODONTOIATRIA E STOMATOLOGIA', 'ONCOLOGIA', 'ORTOPEDIA E TRAUMATOLOGIA', 'OSTETRICIA', 'OTORINOLARINGOIATRIA', 'PNEUMOLOGIA', 'PRONTO SOCCORSO', 'PSICHIATRIA E PSICOLOGIA', 'RADIOLOGIA E DIAGNOSTICA PER IMMAGINI', 'RADIOTERAPIA', 'REUMATOLOGIA', 'RIABILITAZIONE CARDIO-RESPIRATORIA', 'RIABILITAZIONE NEUROLOGICA', 'RIABILITAZIONE ORTOPEDICA', 'SENOLOGIA', 'SERVIZI TERRITORIALI', 'UNITÀ CORONARICA - UNITÀ INTENSIVA CARDIOLOGICA', 'UROLOGIA E ANDROLOGIA']","{""Da consigliare a parenti e amici"": 4.1, ""Pulizia"": 4.7, ""Rispetto della privacy"": 4.4, ""Qualità dell'ospitalità e della struttura"": 4.4, ""Disponibilità e gentilezza del personale medico"": 4.3, ""Disponibilità e gentilezza del personale non medico"": 4.4, ""Chiarezza delle informazioni mediche ricevute"": 4.1, ""Chiarezza delle informazioni amministrative e organizzative"": 4.0, ""Qualità dei pasti"": 4.7, ""Gestione delle visite dei parenti"": 4.7}","{""Ortopedia e Traumatologia"": 5.0, ""Riabilitazione Ortopedica"": 5.0, ""Senologia"": 5.0}",OSPEDALE,SPOKE,BERGAMO,BG,45.6888633,9.6787228
PRESIDIO OSPEDALIERO SAN LEOPOLDO MANDIC DI MERATE,ASST LECCO,"LARGO MANDIC, 1 - MERATE (LC)",4.4,2.0,31.0,"['ANATOMIA PATOLOGICA', 'CARDIOCHIRURGIA', 'CARDIOLOGIA', 'CHIRURGIA GENERALE', 'DERMATOLOGIA', 'EMATOLOGIA E IMMUNOEMATOLOGIA', 'GASTROENTEROLOGIA', 'GERIATRIA', 'GINECOLOGIA', 'MEDICINA INTERNA - GENERALE', 'NEONATOLOGIA', 'NEUROLOGIA', ""NEUROLOGIA D'URGENZA E STROKE UNIT"", 'NEUROPSICHIATRIA INFANTILE', 'OCULISTICA', 'ODONTOIATRIA E STOMATOLOGIA', 'ONCOLOGIA', 'ORTOPEDIA E TRAUMATOLOGIA', 'OSTETRICIA', 'OTORINOLARINGOIATRIA', 'PEDIATRIA', 'PNEUMOLOGIA', 'PRONTO SOCCORSO', 'PRONTO SOCCORSO PEDIATRICO', 'PSICHIATRIA E PSICOLOGIA', 'RADIOLOGIA E DIAGNOSTICA PER IMMAGINI', 'REUMATOLOGIA', 'RIABILITAZIONE NEUROLOGICA', 'RIABILITAZIONE ORTOPEDICA', 'SENOLOGIA', 'UNITÀ CORONARICA - UNITÀ INTENSIVA CARDIOLOGICA']","{""Da consigliare a parenti e amici"": 5.0, ""Pulizia"": 4.5, ""Rispetto della privacy"": 4.5, ""Qualità dell'ospitalità e della struttura"": 4.5, ""Disponibilità e gentilezza del personale medico"": 5.0, ""Disponibilità e gentilezza del personale non medico"": 4.0, ""Chiarezza delle informazioni mediche ricevute"": 4.0, ""Chiarezza delle informazioni amministrative e organizzative"": 4.0, ""Qualità dei pasti"": 4.0, ""Gestione delle visite dei parenti"": 4.0}",{},OSPEDALE,SPOKE,MERATE,LC,45.6981085,9.4272938
FONDAZIONE IRCCS CA' GRANDA OSPEDALE MAGGIORE POLICLINICO DI MILANO,,"VIA FRANCESCO SFORZA, 35 - MILANO (MI)",4.3,41.0,64.0,"['NEFROLOGIA', 'DIALISI E TRAPIANTO PEDIATRICO', 'PEDIATRIA', 'RADIOLOGIA PEDIATRICA', 'TERAPIA INTENSIVA PEDIATRICA', 'PRONTO SOCCORSO PEDIATRICO', 'CARDIOLOGIA PEDIATRICA', 'CHIRURGIA SENOLOGICA', 'GASTROENTEROLOGIA', 'GINECOLOGIA', 'EMATOLOGIA', 'NEONATOLOGIA', 'TERAPIA INTENSIVA NEONATALE', 'OSTETRICIA', 'PRONTO SOCCORSO OSTETRICO E GINECOLOGICO', 'RADIOLOGIA\xa0SENOLOGICA', 'CARDIOLOGIA', 'CHIRURGIA MAXILLO FACCIALE', 'ODONTOSTOMATOLOGIA', 'DERMATOLOGIA', 'CHIRURGIA DERMATOLOGICA E DERMATOLOGIA PEDIATRICA', 'MEDICINA DEL LAVORO', 'NEUROLOGIA', ""NEUROPSICHIATRIA DELL'INFANZIA"", 'MEDICINA GENERALE', 'GASTROENTEROLOGIA ED ENDOSCOPIA', 'OCULISTICA', 'PMA', 'ANATOMIA PATOLOGICA', 'ASTANTERIA - DEGENZA BREVE', 'CHIRURGIA GENERALE', 'CHIRURGIA PEDIATRICA', 'CHIRURGIA TORACICA', 'CHIRURGIA VASCOLARE', 'DERMATOLOGIA', 'DIETOLOGIA E NUTRIZIONE CLINICA', 'ELETTROFISIOLOGIA E EMODINAMICA', 'EMATOLOGIA E IMMUNOEMATOLOGIA', 'ENDOCRINOLOGIA E DIABETOLOGIA', 'FISIOPATOLOGIA DELLA RIPRODUZIONE - PMA', 'GERIATRIA', 'MEDICINA DEI TRAPIANTI', 'MEDICINA INTERNA - GENERALE', 'MEDICINA NUCLEARE', 'NEFROLOGIA', 'NEUROCHIRURGIA', ""NEUROLOGIA D'URGENZA E STROKE UNIT"", 'NEUROPSICHIATRIA INFANTILE', 'ODONTOIATRIA E STOMATOLOGIA', 'ONCOEMATOLOGIA', 'ONCOLOGIA', 'OTORINOLARINGOIATRIA', 'PENSIONANTI', 'PNEUMOLOGIA', 'PRONTO SOCCORSO', 'PRONTO SOCCORSO GINECOLOGICO', 'PRONTO SOCCORSO PEDIATRICO', 'PSICHIATRIA E PSICOLOGIA', 'RADIOLOGIA E DIAGNOSTICA PER IMMAGINI', 'REUMATOLOGIA', 'SENOLOGIA', 'SERVIZI TERRITORIALI', 'TERAPIA INTENSIVA', 'UNITÀ CORONARICA - UNITÀ INTENSIVA CARDIOLOGICA', 'UROLOGIA E ANDROLOGIA', 'UROLOGIA PEDIATRICA']","{""Da consigliare a parenti e amici"": 4.3, ""Pulizia"": 4.2, ""Rispetto della privacy"": 4.4, ""Qualità dell'ospitalità e della struttura"": 4.2, ""Disponibilità e gentilezza del personale medico"": 4.5, ""Disponibilità e gentilezza del personale non medico"": 4.4, ""Chiarezza delle informazioni mediche ricevute"": 4.4, ""Chiarezza delle informazioni amministrative e organizzative"": 4.2, ""Qualità dei pasti"": 3.9, ""Gestione delle visite dei parenti"": 4.4}","{""Cardiologia"": 5.0, ""Dermatologia"": 5.0, ""Dietologia e Nutrizione Clinica"": 3.7, ""Ematologia e Immunoematologia"": 5.0, ""Endocrinologia e Diabetologia"": 5.0, ""Ginecologia"": 5.0, ""Neonatologia"": 5.0, ""Oncologia"": 2.3, ""Ostetricia"": 3.5, ""Senologia"": 3.7, ""Terapia Intensiva"": 5.0}",OSPEDALE,HUB,MILANO,MI,45.4589944,9.1949011
ISTITUTO NAZIONALE DEI TUMORI,,"VIA VENEZIAN, 1 - MILANO (MI)",4.3,15.0,37.0,"['ANALISI DI LABORATORIO', 'ANATOMIA PATOLOGICA', 'ANGIOLOGIA', 'CARDIOLOGIA', 'CHIRURGIA GENERALE', 'CHIRURGIA MAXILLO FACCIALE', 'CHIRURGIA PLASTICA E MEDICINA ESTETICA', 'CHIRURGIA TORACICA', 'CURE PALLIATIVE - HOSPICE', 'DERMATOLOGIA', 'DIETOLOGIA E NUTRIZIONE CLINICA', 'EMATOLOGIA E IMMUNOEMATOLOGIA', 'ENDOCRINOLOGIA E DIABETOLOGIA', 'GASTROENTEROLOGIA', 'GENETICA', 'GINECOLOGIA', 'MEDICINA DEI TRAPIANTI', 'MEDICINA NUCLEARE', 'NEUROLOGIA', 'NEUROPSICHIATRIA INFANTILE', 'OCULISTICA', 'ODONTOIATRIA E STOMATOLOGIA', 'ONCOEMATOLOGIA', 'ONCOLOGIA', 'OTORINOLARINGOIATRIA', 'PEDIATRIA', 'PNEUMOLOGIA', 'PRONTO SOCCORSO', 'PSICHIATRIA E PSICOLOGIA', 'RADIOLOGIA E DIAGNOSTICA PER IMMAGINI', 'RADIOTERAPIA ONCOLOGICA', 'RIABILITAZIONE CARDIO-RESPIRATORIA', 'RIABILITAZIONE ONCOLOGICA', 'RIABILITAZIONE ORTOPEDICA', 'SENOLOGIA', 'TERAPIA INTENSIVA', 'UROLOGIA E ANDROLOGIA']","{""Da consigliare a parenti e amici"": 4.6, ""Pulizia"": 4.5, ""Rispetto della privacy"": 4.5, ""Qualità dell'ospitalità e della struttura"": 4.3, ""Disponibilità e gentilezza del personale medico"": 4.6, ""Disponibilità e gentilezza del personale non medico"": 4.6, ""Chiarezza delle informazioni mediche ricevute"": 4.5, ""Chiarezza delle informazioni amministrative e organizzative"": 4.3, ""Qualità dei pasti"": 3.8, ""Gestione delle visite dei parenti"": 4.0}","{""Anatomia Patologica"": 5.0, ""Chirurgia Toracica"": 5.0, ""Ematologia e Immunoematologia"": 4.0, ""Ginecologia"": 3.0, ""Oncologia"": 4.0, ""Senologia"": 4.0, ""Urologia e Andrologia"": 3.0}",OSPEDALE,HUB,MILANO,MI,45.474386,9.2321797
OSPEDALE SAN PAOLO DI MILANO,ASST SANTI PAOLO E CARLO,"VIA ANTONIO DI RUDINÌ, 8 - MILANO (MI)",4.3,11.0,44.0,"['ANATOMIA PATOLOGICA', 'CARDIOLOGIA', 'CHIRURGIA GENERALE', 'CHIRURGIA MAXILLO FACCIALE', 'CHIRURGIA PLASTICA E MEDICINA ESTETICA', 'CHIRURGIA TORACICA', 'CHIRURGIA VASCOLARE', 'CURE PALLIATIVE - HOSPICE', 'DERMATOLOGIA', 'DIETOLOGIA E NUTRIZIONE CLINICA', 'ELETTROFISIOLOGIA E EMODINAMICA', 'EMATOLOGIA E IMMUNOEMATOLOGIA', 'ENDOCRINOLOGIA E DIABETOLOGIA', 'FISIOPATOLOGIA DELLA RIPRODUZIONE - PMA', 'GASTROENTEROLOGIA', 'GINECOLOGIA', 'MALATTIE INFETTIVE E TROPICALI', 'MEDICINA DEL LAVORO', 'MEDICINA INTERNA - GENERALE', 'MEDICINA NUCLEARE', 'NEFROLOGIA', 'NEONATOLOGIA', 'NEUROLOGIA', 'NEUROPSICHIATRIA INFANTILE', 'OCULISTICA', 'ODONTOIATRIA E STOMATOLOGIA', 'ONCOLOGIA', 'ORTOPEDIA E TRAUMATOLOGIA', 'OSTETRICIA', 'OTORINOLARINGOIATRIA', 'PEDIATRIA', 'PNEUMOLOGIA', 'PRONTO SOCCORSO', 'PRONTO SOCCORSO GINECOLOGICO', 'PRONTO SOCCORSO ODONTOIATRICO', 'PRONTO SOCCORSO PEDIATRICO', 'PSICHIATRIA E PSICOLOGIA', 'RADIOLOGIA E DIAGNOSTICA PER IMMAGINI', 'RIABILITAZIONE NEUROLOGICA', 'RIABILITAZIONE ORTOPEDICA', 'SENOLOGIA', 'TERAPIA INTENSIVA', 'UNITÀ CORONARICA - UNITÀ INTENSIVA CARDIOLOGICA', 'UROLOGIA E ANDROLOGIA']","{""Da consigliare a parenti e amici"": 4.1, ""Pulizia"": 4.6, ""Rispetto della privacy"": 4.4, ""Qualità dell'ospitalità e della struttura"": 3.9, ""Disponibilità e gentilezza del personale medico"": 4.4, ""Disponibilità e gentilezza del personale non medico"": 4.8, ""Chiarezza delle informazioni mediche ricevute"": 4.3, ""Chiarezza delle informazioni amministrative e organizzative"": 3.8, ""Qualità dei pasti"": 4.0, ""Gestione delle visite dei parenti"": 4.5}","{""Chirurgia Maxillo Facciale"": 5.0, ""Fisiopatologia della Riproduzione - PMA"": 1.0, ""Neurologia"": 5.0, ""Oculistica"": 5.0, ""Odontoiatria e Stomatologia"": 4.0, ""Pronto soccorso odontoiatrico"": 5.0, ""Urologia e Andrologia"": 5.0}",OSPEDALE,HUB,MILANO,MI,45.434388,9.1598345
OSPEDALE PESENTI FENAROLI DI ALZANO LOMBARDO,ASST BERGAMO EST,"VIA MAZZINI, 88 - ALZANO LOMBARDO (BG)",4.3,3.0,23.0,"['ANALISI DI LABORATORIO', 'CARDIOLOGIA', 'CHIRURGIA GENERALE', 'CHIRURGIA VASCOLARE', 'DERMATOLOGIA', 'EMATOLOGIA E IMMUNOEMATOLOGIA', 'ENDOCRINOLOGIA E DIABETOLOGIA', 'GASTROENTEROLOGIA', 'GERIATRIA', 'GINECOLOGIA', 'MEDICINA INTERNA - GENERALE', 'OCULISTICA', 'ONCOLOGIA', 'ORTOPEDIA E TRAUMATOLOGIA', 'OSTETRICIA', 'OTORINOLARINGOIATRIA', 'PEDIATRIA', 'PNEUMOLOGIA', 'PRONTO SOCCORSO', 'PSICHIATRIA E PSICOLOGIA', 'RADIOLOGIA E DIAGNOSTICA PER IMMAGINI', 'RIABILITAZIONE ORTOPEDICA', 'SENOLOGIA']","{""Da consigliare a parenti e amici"": 5.0, ""Pulizia"": 4.3, ""Rispetto della privacy"": 4.3, ""Qualità dell'ospitalità e della struttura"": 4.3, ""Disponibilità e gentilezza del personale medico"": 5.0, ""Disponibilità e gentilezza del personale non medico"": 4.0, ""Chiarezza delle informazioni mediche ricevute"": 5.0, ""Chiarezza delle informazioni amministrative e organizzative"": 4.0, ""Qualità dei pasti"": 2.0, ""Gestione delle visite dei parenti"": 3.5}","{""Ginecologia"": 5.0}",OSPEDALE,SPOKE,ALZANO LOMBARDO,BG,45.7312984,9.7258139
IRCCS OSPEDALE SAN RAFFAELE DI MILANO - GRUPPO SAN DONATO,,"VIA OLGETTINA, 60 - MILANO (MI)",4.2,30.0,64.0,"['ALLERGOLOGIA', 'ANALISI DI LABORATORIO', 'ANATOMIA PATOLOGICA', 'ANGIOLOGIA', 'CARDIOCHIRURGIA', 'CARDIOLOGIA', 'CHECK UP', 'CHIRURGIA GENERALE', 'CHIRURGIA MAXILLO FACCIALE', 'CHIRURGIA PEDIATRICA', 'CHIRURGIA TORACICA', 'CHIRURGIA VASCOLARE', 'CHIRURGIA VERTEBRALE', 'DERMATOLOGIA', 'DIETOLOGIA E NUTRIZIONE CLINICA', 'ELETTROFISIOLOGIA E EMODINAMICA', 'EMATOLOGIA E IMMUNOEMATOLOGIA', 'EMODIALISI', 'ENDOCRINOLOGIA E DIABETOLOGIA', 'FISIOPATOLOGIA DELLA RIPRODUZIONE - PMA', 'GASTROENTEROLOGIA', 'GENETICA', 'GINECOLOGIA', 'IMMUNOLOGIA', 'MALATTIE INFETTIVE E TROPICALI', 'MEDICINA DEI TRAPIANTI', 'MEDICINA DEL LAVORO', 'MEDICINA INTERNA - GENERALE', 'MEDICINA NUCLEARE', 'MEDICINA SPORTIVA', 'NEFROLOGIA', 'NEONATOLOGIA', 'NEUROCHIRURGIA', 'NEUROCHIRURGIA PEDIATRICA', 'NEUROLOGIA', 'OCULISTICA', 'ODONTOIATRIA E STOMATOLOGIA', 'ONCOEMATOLOGIA', 'ONCOLOGIA', 'ORTOPEDIA E TRAUMATOLOGIA', 'OSTETRICIA', 'OTORINOLARINGOIATRIA', 'PEDIATRIA', 'PNEUMOLOGIA', 'PRONTO SOCCORSO', 'PRONTO SOCCORSO CARDIOLOGICO', 'PRONTO SOCCORSO GINECOLOGICO', 'PRONTO SOCCORSO ORTOPEDICO', 'PRONTO SOCCORSO PEDIATRICO', 'PSICHIATRIA E PSICOLOGIA', 'RADIOLOGIA E DIAGNOSTICA PER IMMAGINI', 'RADIOTERAPIA', 'RADIOTERAPIA ONCOLOGICA', 'REUMATOLOGIA', 'RIABILITAZIONE CARDIO-RESPIRATORIA', 'RIABILITAZIONE NEUROLOGICA', 'RIABILITAZIONE ORTOPEDICA', 'SENOLOGIA', 'SERVIZI DOMICILIARI', 'TERAPIA INTENSIVA', 'TOSSICOLOGIA', 'UNITÀ CORONARICA - UNITÀ INTENSIVA CARDIOLOGICA', 'UROLOGIA E ANDROLOGIA', 'UROLOGIA PEDIATRICA']","{""Da consigliare a parenti e amici"": 4.3, ""Pulizia"": 4.3, ""Rispetto della privacy"": 4.3, ""Qualità dell'ospitalità e della struttura"": 4.2, ""Disponibilità e gentilezza del personale medico"": 4.4, ""Disponibilità e gentilezza del personale non medico"": 4.3, ""Chiarezza delle informazioni mediche ricevute"": 4.2, ""Chiarezza delle informazioni amministrative e organizzative"": 4.0, ""Qualità dei pasti"": 3.4, ""Gestione delle visite dei parenti"": 4.2}","{""Allergologia"": 5.0, ""Analisi di Laboratorio"": 5.0, ""Cardiologia"": 5.0, ""Dermatologia"": 4.0, ""Ematologia e Immunoematologia"": 1.0, ""Endocrinologia e Diabetologia"": 5.0, ""Fisiopatologia della Riproduzione - PMA"": 5.0, ""Gastroenterologia"": 5.0, ""Ginecologia"": 2.5, ""Medicina dei Trapianti"": 5.0, ""Medicina Nucleare"": 5.0, ""Neonatologia"": 1.0, ""Odontoiatria e Stomatologia"": 5.0, ""Pronto soccorso cardiologico"": 5.0, ""Senologia"": 5.0}",OSPEDALE,HUB,MILANO,MI,45.5055742,9.2648041
OSPEDALE DI CIRCOLO DI BUSTO ARSIZIO,ASST VALLE OLONA,"VIA ARNALDO DA BRESCIA, 1 - BUSTO ARSIZIO (VA)",4.2,23.0,36.0,"['ANATOMIA PATOLOGICA', 'CARDIOLOGIA', 'CHIRURGIA GENERALE', 'CHIRURGIA VASCOLARE', 'CURE PALLIATIVE - HOSPICE', 'DERMATOLOGIA', 'ELETTROFISIOLOGIA E EMODINAMICA', 'EMODIALISI', 'ENDOCRINOLOGIA E DIABETOLOGIA', 'GINECOLOGIA', 'MALATTIE INFETTIVE E TROPICALI', 'MEDICINA DEI TRAPIANTI', 'MEDICINA INTERNA - GENERALE', 'MEDICINA NUCLEARE', 'NEFROLOGIA', 'NEONATOLOGIA', 'NEUROLOGIA', ""NEUROLOGIA D'URGENZA E STROKE UNIT"", 'NEUROPSICHIATRIA INFANTILE', 'OCULISTICA', 'ODONTOIATRIA E STOMATOLOGIA', 'ONCOLOGIA', 'ORTOPEDIA E TRAUMATOLOGIA', 'OSTETRICIA', 'OTORINOLARINGOIATRIA', 'PEDIATRIA', 'PNEUMOLOGIA', 'PRONTO SOCCORSO', 'PRONTO SOCCORSO GINECOLOGICO', 'PRONTO SOCCORSO PEDIATRICO', 'PSICHIATRIA E PSICOLOGIA', 'RADIOTERAPIA', 'REUMATOLOGIA', 'SENOLOGIA', 'UNITÀ CORONARICA - UNITÀ INTENSIVA CARDIOLOGICA', 'UROLOGIA E ANDROLOGIA']","{""Da consigliare a parenti e amici"": 4.3, ""Pulizia"": 4.4, ""Rispetto della privacy"": 4.4, ""Qualità dell'ospitalità e della struttura"": 4.1, ""Disponibilità e gentilezza del personale medico"": 4.3, ""Disponibilità e gentilezza del personale non medico"": 4.2, ""Chiarezza delle informazioni mediche ricevute"": 4.3, ""Chiarezza delle informazioni amministrative e organizzative"": 4.3, ""Qualità dei pasti"": 3.7, ""Gestione delle visite dei parenti"": 3.8}","{""Cure Palliative - Hospice"": 3.5, ""Ginecologia"": 5.0, ""Medicina Nucleare"": 5.0, ""Oculistica"": 3.0, ""Oncologia"": 5.0, ""Ortopedia e Traumatologia"": 5.0, ""Pediatria"": 1.0, ""Pronto soccorso"": 5.0, ""Unità Coronarica - Unità Intensiva Cardiologica"": 5.0}",OSPEDALE,SPOKE,BUSTO ARSIZIO,VA,45.623062,8.8474527
OSPEDALE VALDUCE DI COMO,,"VIA DANTE ALIGHIERI, 11 - COMO (CO)",4.2,11.0,35.0,"['ANALISI DI LABORATORIO', 'ANGIOLOGIA', 'CARDIOLOGIA', 'CHIRURGIA GENERALE', 'CHIRURGIA TORACICA', 'CHIRURGIA VASCOLARE', 'DIETOLOGIA E NUTRIZIONE CLINICA', 'ELETTROFISIOLOGIA E EMODINAMICA', 'ENDOCRINOLOGIA E DIABETOLOGIA', 'FISIOPATOLOGIA DELLA RIPRODUZIONE - PMA', 'GASTROENTEROLOGIA', 'GINECOLOGIA', 'MEDICINA INTERNA - GENERALE', 'NEONATOLOGIA', 'NEUROLOGIA', ""NEUROLOGIA D'URGENZA E STROKE UNIT"", 'OCULISTICA', 'ONCOLOGIA', 'ORTOPEDIA E TRAUMATOLOGIA', 'OSTETRICIA', 'PEDIATRIA', 'PNEUMOLOGIA', 'PRONTO SOCCORSO', 'PRONTO SOCCORSO GINECOLOGICO', 'PRONTO SOCCORSO OFTALMICO', 'PRONTO SOCCORSO PEDIATRICO', 'PSICHIATRIA E PSICOLOGIA', 'RADIOLOGIA E DIAGNOSTICA PER IMMAGINI', 'REUMATOLOGIA', 'RIABILITAZIONE CARDIO-RESPIRATORIA', 'RIABILITAZIONE NEUROLOGICA', 'RIABILITAZIONE ORTOPEDICA', 'SENOLOGIA', 'TERAPIA INTENSIVA', 'UROLOGIA E ANDROLOGIA']","{""Da consigliare a parenti e amici"": 4.3, ""Pulizia"": 4.6, ""Rispetto della privacy"": 4.2, ""Qualità dell'ospitalità e della struttura"": 4.3, ""Disponibilità e gentilezza del personale medico"": 4.3, ""Disponibilità e gentilezza del personale non medico"": 4.4, ""Chiarezza delle informazioni mediche ricevute"": 4.4, ""Chiarezza delle informazioni amministrative e organizzative"": 4.0, ""Qualità dei pasti"": 3.4, ""Gestione delle visite dei parenti"": 3.9}","{""Cardiologia"": 5.0, ""Chirurgia Generale"": 5.0, ""Endocrinologia e Diabetologia"": 5.0, ""Neurologia"": 1.0, ""Ostetricia"": 4.5, ""Pronto soccorso ginecologico"": 5.0}",OSPEDALE,SPOKE,COMO,CO,45.6739219,9.1694997
OSPEDALE MAGGIORE DI CREMA,ASST CREMA,"LARGO UGO DOSSENA, 2 - CREMA (CR)",4.2,8.0,32.0,"['CARDIOLOGIA', 'CHIRURGIA GENERALE', 'CHIRURGIA VASCOLARE', 'DERMATOLOGIA', 'ELETTROFISIOLOGIA E EMODINAMICA', 'ENDOCRINOLOGIA E DIABETOLOGIA', 'GASTROENTEROLOGIA', 'GERIATRIA', 'GINECOLOGIA', 'MEDICINA INTERNA - GENERALE', 'NEFROLOGIA', 'NEONATOLOGIA', 'NEUROLOGIA', ""NEUROLOGIA D'URGENZA E STROKE UNIT"", 'OCULISTICA', 'ODONTOIATRIA E STOMATOLOGIA', 'ONCOLOGIA', 'ORTOPEDIA E TRAUMATOLOGIA', 'OSTETRICIA', 'OTORINOLARINGOIATRIA', 'PEDIATRIA', 'PNEUMOLOGIA', 'PRONTO SOCCORSO', 'PRONTO SOCCORSO PEDIATRICO', 'PSICHIATRIA E PSICOLOGIA', 'RADIOLOGIA E DIAGNOSTICA PER IMMAGINI', 'REUMATOLOGIA', 'SENOLOGIA', 'SERVIZI TERRITORIALI', 'TERAPIA INTENSIVA', 'UNITÀ CORONARICA - UNITÀ INTENSIVA CARDIOLOGICA', 'UROLOGIA E ANDROLOGIA']","{""Da consigliare a parenti e amici"": 4.0, ""Pulizia"": 4.3, ""Rispetto della privacy"": 4.3, ""Qualità dell'ospitalità e della struttura"": 4.0, ""Disponibilità e gentilezza del personale medico"": 4.5, ""Disponibilità e gentilezza del personale non medico"": 4.5, ""Chiarezza delle informazioni mediche ricevute"": 4.3, ""Chiarezza delle informazioni amministrative e organizzative"": 4.0, ""Qualità dei pasti"": 3.7, ""Gestione delle visite dei parenti"": 3.8}","{""Cardiologia"": 5.0, ""Chirurgia Vascolare"": 5.0, ""Gastroenterologia"": 5.0, ""Neurologia d'urgenza e Stroke Unit"": 5.0, ""Pronto soccorso"": 1.0, ""Unità Coronarica - Unità Intensiva Cardiologica"": 5.0}",OSPEDALE,SPOKE,CREMA,CR,45.3545923,9.6810901
